name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids
composio-search-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
file-organizer,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"A2,G1,O4,Q1,Q4,R7",
googledrive-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
invoice-organizer,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"A2,G1,O3,O4,Q1,Q3,R4,R8,U1",
mailcheck-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
system-info,,140.0,39555,5278,agno-agi,True,45138,Dom-15,T,skill.sh,Q1,"R1,R10,S7"
unpause-subs,,,1425,319,ComposioHQ,True,98912,Dom-15,T,skillsmp,O4,
google-admin-automation,,,55259,5931,ComposioHQ,True,98912,Dom-15,F,skillsmp,"I4,O3,O4,Q1,Q2,Q3,R7,X7",
ops-daemon,,,2781,317,davepoon,False,2817,Dom-15,T,skillsmp,"A3,O3,Q1,R1,X1,X8",
ops-speedup,,,2781,317,davepoon,False,2817,Dom-15,T,skillsmp,"G1,I3,O3,O4,Q1,X1,X3,X8",
it-operations,,179.0,24807,2453,davila7,False,26056,Dom-15,T,skill.sh,"A3,A4,A5,C3,G1,G3,I2,I3,I4,K3,K5,O3,O4,Q1,Q2,Q3,Q4,R1,R7,R8,U1,U4,X1,X3,X4,X7,X8","A2,A3,A4,A5,C2,C3,G1,G3,G4,G5,I4,I6,K3,K4,O4,Q1,Q2,Q3,Q4,R10,R4,R5,R6,R8,S7,U1,W1,W2,W3,X1,X3,X4,X5,X6,X7,X8"
windows-privilege-escalation,,,24807,2453,davila7,False,26056,Dom-15,T,skillsmp,"A3,A5,G1,I3,Q1,Q2,R6,R9,X7",
guard,,,78853,11339,garrytan,False,88771,Dom-15,T,skillsmp,"Q1,R1,R6,R7,X1,X8",
unfreeze,,,78853,11339,garrytan,False,88771,Dom-15,T,skillsmp,"R7,X1,X8",
add-macos-statusbar,,,27598,12502,gavrielc,False,1276,Dom-15,T,skillsmp,"Q1,Q2,X3,X8",
centos-linux-triage,,7094.0,30605,3652,github,True,665129,Dom-15,F,skill.sh,R1,
persona-it-admin,,4381.0,25117,1284,googleworkspace,True,43886,Dom-15,T,skill.sh,"A5,O3,Q3,R8",
cli-anything-rms,,,31931,3103,HKUDS,True,243903,Dom-15,T,skillsmp,"O4,Q1,Q3,R8,R9,W2,X4,X7,X8",
ec2,,34.0,1076,437,itsmostafa,False,1284,Dom-15,T,skill.sh,"A3,A5,O3,O4,Q1,Q2,R7,U1,X7,X8","A3,A5,G1,K4,O4,W1,X5,X7,X8"
apple-notes-install-auth,,,1990,269,jeremylongshore,False,2092,Dom-15,T,skillsmp,"O4,Q1,R1,R7,W2,X1,X8",
database-health-monitor,,,1990,269,jeremylongshore,False,2092,Dom-15,T,skillsmp,"A4,A5,Q1",
paywall-upgrade-cro,,154.0,24807,2453,davila7,False,26056,Dom-14,T,skill.sh,"G1,G2,I3,O4,Q1,Q3,Q4,R1,U1",
windsurf-license-management,,,1990,269,jeremylongshore,False,2092,Dom-14,T,skillsmp,"A5,G1,R7","A5,G1,Q4"
