name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids,minimum_permission_set,requested_atoms_used,necessary_atoms_used,reach,phi,gamma,pdei_score,n_eff,n_eff_tier,n_eff_source,platform_median_used,alpha1_star_used,alpha2_fork_used,lambda_dev,delta_t1,delta_t2,delta_t3,delta_t4,extra_t1,extra_t2,extra_t3,extra_t4,unknown_requested_atoms,unknown_necessary_atoms,path_A,path_B,path_C,path_D,path_E
composio-search-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8"", ""R9""]","I4,O3,Q1,R1,R7,X7","G1,Q1,R1,R4,R7,R8,R9",9.158,9.0,7.0,576.95,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"O3,X7",I4,,,0,0,0,0,1
file-organizer,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"A2,G1,O4,Q1,Q4,R7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8"", ""R9""]","A2,G1,O4,Q1,Q4,R7","G1,Q1,R1,R4,R7,R8,R9",9.158,3.5,4.0,128.21,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,0,1,0,Q4,,O4,,,,0,1,0,0,0
googledrive-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8"", ""R9""]","I4,O3,Q1,R1,R7,X7","G1,Q1,R1,R4,R7,R8,R9",9.158,9.0,7.0,576.95,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"O3,X7",I4,,,0,0,0,0,1
invoice-organizer,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"A2,G1,O3,O4,Q1,Q3,R4,R8,U1",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8"", ""R9""]","A2,G1,O3,O4,Q1,Q3,R4,R8,U1","G1,Q1,R1,R4,R7,R8,R9",9.158,8.0,13.0,952.42,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,1,1,2,0,Q3,U1,"O3,O4",,,,1,1,1,0,0
mailcheck-automation,,,55259,5931,ComposioHQ,True,98912,Dom-6,T,skillsmp,"I4,O3,Q1,R1,R7,X7",,"[""G1"", ""Q1"", ""R1"", ""R4"", ""R7"", ""R8"", ""R9""]","I4,O3,Q1,R1,R7,X7","G1,Q1,R1,R4,R7,R8,R9",9.158,9.0,7.0,576.95,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,2,1,,,"O3,X7",I4,,,0,0,0,0,1
system-info,,140.0,39555,5278,agno-agi,True,45138,Dom-15,T,skill.sh,Q1,"R1,R10,S7","[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]",Q1,"K1,K2,K3,K5,R1",8.915,0.0,1.0,0.0,79110.0,2,star_proxy,5562.0,2.0,2.0,1.8,0,0,0,0,,,,,,,0,0,0,0,0
unpause-subs,,,1425,319,ComposioHQ,True,98912,Dom-15,T,skillsmp,O4,,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]",O4,"K1,K2,K3,K5,R1",6.377,2.5,1.0,15.94,2850.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,1,0,,,O4,,,,0,0,0,0,0
google-admin-automation,,,55259,5931,ComposioHQ,True,98912,Dom-15,F,skillsmp,"I4,O3,O4,Q1,Q2,Q3,R7,X7",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","I4,O3,O4,Q1,Q2,Q3,R7,X7","K1,K2,K3,K5,R1",9.158,14.5,10.0,1327.89,110518.0,2,star_proxy,38042.0,2.0,2.0,1.8,3,0,3,1,"Q2,Q3,R7",,"O3,O4,X7",I4,,,0,1,0,0,1
ops-daemon,,,2781,317,davepoon,False,2817,Dom-15,T,skillsmp,"A3,O3,Q1,R1,X1,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","A3,O3,Q1,R1,X1,X8","K1,K2,K3,K5,R1",6.826,11.5,7.0,549.49,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,3,1,,,"O3,X1,X8",A3,,,0,0,0,0,1
ops-speedup,,,2781,317,davepoon,False,2817,Dom-15,T,skillsmp,"G1,I3,O3,O4,Q1,X1,X3,X8",,"[""K1"", ""K2"", ""K3"", ""K5"", ""R1""]","G1,I3,O3,O4,Q1,X1,X3,X8","K1,K2,K3,K5,R1",6.826,16.5,7.0,788.39,5562.0,2,star_proxy,38042.0,2.0,2.0,1.8,0,0,5,1,,,"O3,O4,X1,X3,X8",I3,,,0,0,0,0,1
